基本信息,现价,原价,时间,里程,年份,排量
宝骏510 2017款 1.5L 自动时尚型,5.10万,7.47万,2017年,4.4万公里,2017款,1.5L
本田XR-V 2017款 1.8L EXi CVT舒适版,12.38万,16.26万,2018年,2.3万公里,2017款,1.8L
大众 凌渡 2017款 230TSI DSG风尚版,9.99万,17.36万,2016年,8.1万公里,2017款,1.4T
大众 捷达 2015款 质惠版 1.6L 自动舒适型,5.79万,11.46万,2016年,5.1万公里,2015款,1.6L
别克 昂科威 2016款 20T 两驱精英型,11.98万,25.61万,2016年,7.8万公里,2016款,1.5T
丰田 威驰 2011款 1.6L GL-i 天窗版 AT,3.50万,11.71万,2011年,7.3万公里,2011款,1.6L
宝马7系 2009款 730Li领先型(进口),23.58万,100.73万,2011年,9.7万公里,2009款,3.0L
本田 奥德赛 2015款 改款 2.4L 豪华版,19.50万,27.12万,2016年,7.4万公里,2015款,2.4L
现代 瑞纳 2016款 1.4L 自动智能型GLS,5.28万,9.43万,2017年,5.2万公里,2016款,1.4L
别克 昂科拉 2013款 1.4T 自动两驱精英型,5.88万,17.36万,2013年,10.5万公里,2013款,1.4T
现代 瑞纳 2014款 1.4L 自动领先型GLX,5.18万,10.08万,2015年,4.0万公里,2014款,1.4L
比亚迪F3 2013款 节能版 1.5L 手动舒适型,2.88万,4.98万,2017年,3.1万公里,2013款,1.5L
奔驰A级 2015款 A 180(进口),13.80万,27.35万,2016年,3.6万公里,2015款,1.6T
哈弗H2 2014款 1.5T 手动两驱尊贵版,4.46万,12.24万,2015年,6.9万公里,2014款,1.5T
哈弗H3 2009款 锐意版 2.0L 豪华型,1.88万,9.75万,2010年,8.8万公里,2009款,2.0L
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,6.63万,14.97万,2015年,8.6万公里,2013款,1.6L
别克 昂科威 2014款 28T 四驱豪华型,12.48万,32.55万,2015年,12.2万公里,2014款,2.0T
宝马1系 2013款 改款 116i 都市型(进口),13.60万,30.61万,2015年,5.4万公里,2013款,1.6T
Smart smart fortwo 2012款 1.0 MHD 硬顶激情版,5.60万,14.98万,2013年,4.2万公里,2012款,1.0L
福特 福睿斯 2015款 1.5L 手动舒适型,5.50万,10.51万,2018年,7.0万公里,2015款,1.5L
哈弗H2 2015款 1.5T 自动两驱精英版,5.68万,12.68万,2015年,8.6万公里,2015款,1.5T
奔驰GLA级 2020款 GLA 200,28.80万,32.98万,2020年,0.3万公里,2020款,1.3T
宝马X1 2019款 xDrive20Li 尊享型,23.30万,36.88万,2018年,4.1万公里,2019款,2.0T
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.68万,12.35万,2017年,6.6万公里,2016款,1.5T
雪佛兰 科鲁兹 2016款 1.4T DCG豪华版,7.28万,16.27万,2016年,5.7万公里,2016款,1.4T
吉利 帝豪 2018款 1.5L 手动向上互联版,5.20万,8.77万,2018年,2.4万公里,2018款,1.5L
大众 途锐 2011款 3.0TSI 高配型(进口),23.50万,89.55万,2012年,16.0万公里,2011款,3.0T
大众 宝来 2012款 1.6L 自动舒适超值版,4.98万,13.73万,2012年,6.8万公里,2012款,1.6L
本田 雅阁 2018款 260TURBO 豪华版 国VI,18.88万,21.69万,2020年,2.1万公里,2018款,1.5T
奥迪Q5 2013款 40 TFSI 技术型,20.60万,46.41万,2015年,8.3万公里,2013款,2.0T
现代 雅绅特 2008款 1.4手动舒适型,1.58万,7.79万,2010年,6.3万公里,2008款,1.4L
东南 V5菱致 2015款 1.5L 手动经典版,2.96万,7.70万,2016年,2.6万公里,2015款,1.5L
大众 途锐 2015款 3.0TSI 标配型(进口),38.80万,78.15万,2016年,12.7万公里,2015款,3.0T
长安CX20 2016款 AMT 标准型,3.50万,,2017年,3.3万公里,2016款,1.4L
起亚K2 2015款 三厢 1.4L AT GLS,5.20万,9.32万,2016年,10.5万公里,2015款,1.4L
大众POLO 2016款 1.6L 自动舒适型,6.80万,11.28万,2016年,3.5万公里,2016款,1.6L
大众 速腾 2017款 280TSI 自动R-Line,11.50万,18.54万,2017年,5.4万公里,2017款,1.4T
别克 凯越 2013款 1.5L 自动尊享型,4.68万,12.58万,2014年,1.7万公里,2013款,1.5L
起亚 智跑 2012款 2.0L 自动两驱版GLS,7.28万,20.93万,2013年,7.0万公里,2012款,2.0L
起亚K5 2014款 2.0L 自动LUXURY,7.67万,20.49万,2014年,8.9万公里,2014款,2.0L
奥迪A5 2014款 Coupe 45 TFSI(进口),21.58万,56.99万,2015年,4.4万公里,2014款,2.0T
哈弗H2s 2017款 蓝标 1.5T 双离合精英型,6.28万,10.62万,2017年,4.0万公里,2017款,1.5T
奔驰B级 2019款 B 200 动感型(进口),19.30万,25.92万,2019年,0.9万公里,2019款,1.6T
本田 飞度 2020款 1.5L CVT舒适版,7.88万,8.88万,2020年,0.4万公里,2020款,1.5L
日产 逍客 2017款 2.0L CVT豪华版 国V,12.70万,18.32万,2018年,3.3万公里,2017款,2.0L
雪佛兰 赛欧 2013款 三厢 1.2L AMT理想版,2.99万,7.25万,2014年,7.4万公里,2013款,1.2L
奥迪A3 2014款 Sportback 35 TFSI 自动舒适型,12.38万,27.01万,2016年,7.9万公里,2014款,1.4T
别克GL8 2014款 2.4L 经典版,8.70万,22.69万,2015年,11.2万公里,2014款,2.4L
宝马3系 2014款 320i 时尚型,16.68万,37.23万,2014年,8.7万公里,2014款,2.0T
本田XR-V 2015款 1.8L EXi  CVT舒适版,9.00万,16.26万,2015年,4.9万公里,2015款,1.8L
奔驰GLA级 2016款 GLA 200 动感型,17.68万,29.29万,2017年,5.1万公里,2016款,1.6T
别克 威朗 2017款 三厢 15S 自动进取型,7.90万,15.95万,2016年,3.6万公里,2017款,1.5L
本田 雅阁 2016款 2.0L 舒适版,13.50万,19.52万,2016年,2.9万公里,2016款,2.0L
别克 昂科威 2016款 20T 两驱精英型,12.50万,25.61万,2016年,4.2万公里,2016款,1.5T
路虎 发现运动版 2020款 249PS R-Dynamic SE 性能科技版 7座,30.99万,45.89万,2020年,100公里,2020款,2.0T
起亚KX CROSS 2017款 1.4L AT GLS,6.38万,9.32万,2018年,6.5万公里,2017款,1.4L
别克 凯越 2015款 1.5L 自动经典型,4.10万,9.98万,2015年,6.1万公里,2015款,1.5L
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.98万,9.29万,2016年,6.9万公里,2015款,1.6L
本田XR-V 2015款 1.8L VTi CVT豪华版,10.88万,17.67万,2016年,3.7万公里,2015款,1.8L
起亚KX CROSS 2017款 1.4L AT GLS,7.00万,9.32万,2018年,3.3万公里,2017款,1.4L
现代 朗动 2015款 1.6L 自动尊贵型,6.50万,14.63万,2015年,7.0万公里,2015款,1.6L
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,7.30万,9.31万,2017年,6.6万公里,2016款,1.5L
大众 桑塔纳 2016款 1.6L 自动风尚版,5.98万,10.84万,2017年,8.0万公里,2016款,1.6L
雪佛兰 乐风 2009款 1.4 SL MT,1.55万,8.13万,2009年,10.1万公里,2009款,1.4L
别克 英朗 2021款 典范 1.5L 自动精英型,7.98万,13.67万,2020年,0.1万公里,2021款,1.5L
捷豹XJ 2016款 XJL 2.0T 两驱典雅商务版,41.80万,86.62万,2018年,4.6万公里,2016款,2.0T
本田 雅阁 2016款 2.4L 舒适版,15.58万,22.99万,2016年,6.4万公里,2016款,2.4L
起亚K3 2016款 1.6L 自动GLS,7.18万,12.90万,2016年,7.2万公里,2016款,1.6L
铃木 利亚纳 2013款 两厢 1.4L 手动标准型2,2.10万,6.17万,2013年,6.9万公里,2013款,1.4L
沃尔沃V40 2013款 2.0T 智雅版(进口),9.80万,30.38万,2013年,5.8万公里,2013款,2.0T
标致307 2010款 三厢 1.6L 自动舒适版,3.60万,11.48万,2011年,7.6万公里,2010款,1.6L
奔驰E级 2010款 E 200 CGI 优雅型(进口),11.98万,52.97万,2010年,10.1万公里,2010款,1.8T
马自达CX-5 2015款 2.0L 自动两驱都市型,11.98万,20.71万,2017年,8.5万公里,2015款,2.0L
本田CR-V 2021款 240TURBO CVT两驱黑爵士版,20.59万,22.99万,2020年,300公里,2021款,1.5T
荣威W5 2011款 1.8T 4WD 自动豪域版,5.80万,23.75万,2012年,5.9万公里,2011款,1.8T
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,8.10万,12.79万,2017年,5.9万公里,2017款,1.2T
奔驰C级 2015款 改款 C 200 L 运动型,22.60万,38.40万,2016年,8.0万公里,2015款,2.0T
吉利 帝豪 2016款 三厢 1.3T CVT向上版,4.98万,10.62万,2016年,7.3万公里,2016款,1.3T
本田 飞度 2018款 1.5L CVT潮跑+版,8.28万,10.18万,2018年,4.3万公里,2018款,1.5L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.50万,9.31万,2017年,2.9万公里,2016款,1.5L
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.88万,13.56万,2017年,4.2万公里,2013款,1.6L
奔驰B级 2013款 B 260(进口),15.50万,39.95万,2014年,5.7万公里,2013款,2.0T
大众 朗行 2015款 1.6L 自动风尚版,7.20万,13.56万,2015年,5.9万公里,2015款,1.6L
大众 捷达 2017款 1.5L 自动时尚型,6.58万,10.38万,2017年,3.6万公里,2017款,1.5L
比亚迪 秦Pro 2018款 1.5TI 自动智联锋耀型,7.88万,12.57万,2018年,3.4万公里,2018款,1.5T
吉利 远景 2019款 升级版 1.5L 自动尊贵型 国V,5.68万,7.91万,2019年,2.3万公里,2019款,1.5L
本田 思域 2016款 220TURBO CVT豪华版,13.00万,15.19万,2019年,2.5万公里,2016款,1.5T
大众 高尔夫 2015款 1.6L 自动时尚型,7.28万,14.53万,2014年,7.7万公里,2015款,1.6L
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,8.89万,17.90万,2017年,10.0万公里,2017款,1.5T
MINI Countryman 2012款 1.6T COOPER S,13.80万,36.80万,2013年,10.8万公里,2012款,1.6T
奥迪A6L 2012款 30 FSI 舒适型,20.48万,51.30万,2013年,12.3万公里,2012款,2.5L
雷克萨斯ES 2013款 300h 精英版,22.80万,43.31万,2013年,7.8万公里,2013款,2.5L
大众POLO 2016款 1.6L 自动舒适型,6.60万,11.28万,2016年,3.2万公里,2016款,1.6L
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,11.50万,15.19万,2017年,4.8万公里,2017款,1.5L
别克 君威 2010款 2.0L 世博版,4.18万,22.13万,2010年,12.3万公里,2010款,2.0L
日产 轩逸 2016款 1.6XL CVT豪华版,8.98万,14.65万,2018年,3.7万公里,2016款,1.6L
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,8.50万,21.36万,2014年,7.3万公里,2013款,2.0L
大众 速腾 2014款 1.4TSI 自动豪华型,7.60万,18.21万,2014年,6.8万公里,2014款,1.4T
MINI 2016款 1.5T COOPER 先锋派,18.80万,28.42万,2018年,2.1万公里,2016款,1.5T
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.58万,16.81万,2017年,1.9万公里,2017款,1.4T
大众 桑塔纳 2016款 1.6L 自动风尚版,6.68万,10.84万,2018年,4.1万公里,2016款,1.6L
凯迪拉克ATS-L 2017款 28T 时尚型,18.80万,31.89万,2018年,2.8万公里,2017款,2.0T
长安 悦翔V5 2012款 1.5L 自动运动型,3.48万,8.24万,2014年,4.5万公里,2012款,1.5L
吉利 博瑞 2016款 1.8T 尊雅型,7.90万,15.93万,2016年,7.2万公里,2016款,1.8T
大众 高尔夫 2016款 1.6L 自动舒适型,8.80万,15.73万,2016年,6.1万公里,2016款,1.6L
雪佛兰 迈锐宝 2018款 530T 自动豪华版,11.00万,19.53万,2018年,1.6万公里,2018款,1.5T
宝马X1 2012款 sDrive18i 豪华型,9.80万,34.63万,2012年,10.1万公里,2012款,2.0L
启辰T70 2018款 1.4T 手动睿享运动版,7.98万,12.24万,2019年,3.4万公里,2018款,1.4T
现代 名图 2014款 1.8L 自动智能型GLS,7.80万,16.26万,2014年,9.5万公里,2014款,1.8L
斯柯达 昕锐 2016款 1.6L 手动创行版,4.90万,10.41万,2016年,3.9万公里,2016款,1.6L
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,6.18万,12.48万,2014年,1.2万公里,2012款,1.0L
铃木 天语 SX4 2009款 两厢 1.6L 手动时尚型,2.25万,10.72万,2009年,11.9万公里,2009款,1.6L
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版,5.95万,9.31万,2016年,3.0万公里,2015款,1.5L
丰田 雷凌 2019款 185T CVT科技版 国VI,11.90万,15.17万,2019年,0.4万公里,2019款,1.2T
林肯MKZ 2016款 2.0T 尊享版,14.50万,34.28万,2016年,6.9万公里,2016款,2.0T
雪佛兰 迈锐宝 2014款 1.6T 自动舒适版,6.60万,19.74万,2014年,10.7万公里,2014款,1.6T
马自达 阿特兹 2015款 2.0L 蓝天豪华版,10.98万,20.49万,2015年,10.7万公里,2015款,2.0L
马自达CX-4 2020款 2.0L 自动两驱蓝天活力版,14.38万,16.59万,2020年,0.5万公里,2020款,2.0L
别克GL8 2014款 2.4L 经典版,8.90万,22.69万,2015年,13.4万公里,2014款,2.4L
大众 迈腾 2013款 2.0TSI 豪华型,11.28万,26.90万,2014年,13.9万公里,2013款,2.0T
奔驰E级 2014款 E 260 轿跑版(进口),29.00万,65.02万,2016年,8.0万公里,2014款,2.0T
大众 朗逸 2013款 1.6L 自动舒适版,5.50万,14.97万,2013年,8.2万公里,2013款,1.6L
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.98万,15.72万,2013年,8.3万公里,2012款,1.4T
奔腾B50 2013款 1.6L 手动豪华型,4.49万,10.51万,2016年,3.7万公里,2013款,1.6L
福特 福睿斯 2015款 1.5L 手动舒适型,5.30万,10.51万,2016年,4.6万公里,2015款,1.5L
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.08万,10.38万,2016年,6.7万公里,2015款,1.6L
奔驰E级 2018款 改款 E 200 L,39.60万,47.30万,2019年,4.2万公里,2018款,2.0T
宝马X6 2011款 xDrive35i(进口),25.60万,114.52万,2012年,11.7万公里,2011款,3.0T
起亚K3 2016款 1.6L 自动GLS,7.50万,12.90万,2017年,4.4万公里,2016款,1.6L
奔驰S级 2017款 S 320 L 商务型(进口),69.80万,101.82万,2017年,3.2万公里,2017款,3.0T
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,8.88万,12.79万,2017年,2.8万公里,2017款,1.2T
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,7.20万,13.76万,2017年,2.4万公里,2017款,1.6L
现代 名图 2016款 1.6T 自动智能型GLS,8.80万,17.35万,2016年,6.2万公里,2016款,1.6T
传祺GS3 2019款 235T 自动精英版,7.38万,10.18万,2019年,0.6万公里,2019款,1.5T
日产 轩逸 2019款 1.6XV CVT智联尊享版 国VI,10.09万,15.23万,2019年,0.8万公里,2019款,1.6L
别克 昂科拉 2013款 1.4T 自动两驱精英型,5.68万,17.36万,2013年,9.3万公里,2013款,1.4T
别克 昂科拉 2017款 18T 自动两驱都市领先型,7.68万,16.27万,2017年,3.7万公里,2017款,1.4T
日产 天籁 2013款 2.0L XL舒适版,9.20万,20.17万,2014年,13.0万公里,2013款,2.0L
中华V3 2015款 1.5L 自动智能型,4.80万,9.63万,2016年,4.7万公里,2015款,1.5L
大众 2016款 途安L 280TSI 自动舒雅版,12.28万,21.69万,2017年,4.6万公里,2016款,1.4T
日产 轩逸 2012款 经典 1.6XE 手动舒适版,4.50万,10.83万,2014年,11.8万公里,2012款,1.6L
奔驰C级 2011款 C 200 CGI 时尚型,10.80万,42.12万,2012年,16.3万公里,2011款,1.8T
英菲尼迪G系列 2010款 G25 Sedan 豪华运动版(进口),12.38万,43.20万,2011年,7.9万公里,2010款,2.5L
起亚K2 2012款 三厢 1.4L AT GLS纪念版,3.60万,9.32万,2012年,10.5万公里,2012款,1.4L
福特 蒙迪欧 2017款 EcoBoost 180 时尚型,12.80万,20.93万,2017年,6.3万公里,2017款,1.5T
宝马X1 2015款 sDrive18i 领先晋级版,14.30万,34.63万,2015年,5.6万公里,2015款,2.0T
大众 宝来 2012款 1.6L 手动时尚型,3.80万,11.70万,2012年,10.7万公里,2012款,1.6L
福特 福睿斯 2019款 改款 1.5L 自动悦享型 国VI,8.38万,11.27万,2019年,0.9万公里,2019款,1.5L
比亚迪S6 2013款 劲悦版 2.0L 手动豪华型 5座,2.88万,8.67万,2013年,11.9万公里,2013款,2.0L
丰田 卡罗拉 2011款 1.6L 自动GL,5.78万,14.31万,2012年,7.4万公里,2011款,1.6L
奥迪A4L 2016款 35 TFSI 典藏版 S line舒适型,18.80万,36.14万,2016年,6.3万公里,2016款,2.0T
雪铁龙 世嘉 2011款 三厢 1.6L 自动时尚型,3.20万,12.90万,2011年,9.4万公里,2011款,1.6L
宝马1系 2017款 118i 时尚型,13.58万,22.23万,2017年,4.7万公里,2017款,1.5T
大众 朗逸 2017款 1.6L 自动风尚版,7.85万,12.91万,2018年,6.5万公里,2017款,1.6L
Jeep 自由侠 2017款 180T 自动高能版,8.38万,16.26万,2018年,3.5万公里,2017款,1.4T
本田XR-V 2015款 1.8L VTi CVT豪华版,10.50万,17.67万,2016年,9.2万公里,2015款,1.8L
MINI Countryman 2014款 1.6T COOPER ALL4 Fun,14.80万,32.13万,2014年,9.2万公里,2014款,1.6T
雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,2.70万,11.59万,2013年,8.9万公里,2012款,1.6L
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,9.73万,13.87万,2018年,3.0万公里,2017款,1.2T
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,7.60万,9.53万,2018年,3.0万公里,2017款,1.5L
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,3.68万,10.63万,2013年,6.4万公里,2011款,1.5L
本田 缤智 2016款 1.8L CVT两驱先锋型,10.70万,16.69万,2016年,3.0万公里,2016款,1.8L
丰田 汉兰达 2009款 2.7L 两驱7座豪华版,12.68万,32.43万,2011年,15.5万公里,2009款,2.7L
大众 高尔夫·嘉旅 2019款 1.6L 自动纯真型 国V,9.50万,15.28万,2019年,4.1万公里,2019款,1.6L
大众POLO 2013款 1.6L 手动舒适版,4.12万,10.84万,2013年,5.1万公里,2013款,1.6L
日产 骐达 2019款 1.6L CVT智行版 国VI,10.28万,13.34万,2019年,0.5万公里,2019款,1.6L
荣威i5 2020款 1.5L 自动4G互联领豪版,6.38万,9.54万,2020年,1.3万公里,2020款,1.5L
日产 轩逸 2020款 1.6L XL CVT悦享版,12.38万,14.10万,2020年,0.3万公里,2020款,1.6L
宝马5系 2019款 改款 525Li 豪华套装,38.50万,46.34万,2019年,2.0万公里,2019款,2.0T
奔腾B30 2017款 1.6L 手动豪华型,4.20万,7.90万,2018年,9.6万公里,2017款,1.6L
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,9.28万,11.81万,2020年,400公里,2019款,1.5L
宝马X1 2014款 sDrive18i 时尚型,13.00万,30.94万,2015年,6.8万公里,2014款,2.0T
宝马X3 2016款 xDrive20i M运动型(进口),27.00万,54.49万,2017年,7.7万公里,2016款,2.0T
奔驰C级 2015款 C 200 L 运动型,22.98万,40.05万,2015年,6.9万公里,2015款,2.0T
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,10.58万,20.60万,2015年,8.3万公里,2013款,1.5T
现代 领动 2018款 1.6L 自动15周年特别版,8.50万,13.00万,2018年,2.9万公里,2018款,1.6L
日产 逍客 2011款 2.0XL 火 CVT 2WD,6.65万,17.89万,2012年,8.6万公里,2011款,2.0L
丰田 雷凌 2017款 改款 185T CVT精英版 国V,9.00万,13.55万,2017年,4.0万公里,2017款,1.2T
大众 宝来 2018款 1.5L 手动时尚型,6.88万,11.70万,2018年,4.2万公里,2018款,1.5L
哈弗H2 2016款 红标 1.5T 自动两驱精英型,5.88万,12.68万,2016年,7.3万公里,2016款,1.5T
福特 福睿斯 2019款 1.5L 自动悦享型,7.58万,11.27万,2019年,3.1万公里,2019款,1.5L
别克GL6 2019款 18T 6座互联尊贵型 国V,12.30万,18.12万,2019年,4.0万公里,2019款,1.3T
起亚K2 2012款 三厢 1.4L AT GLS纪念版,4.45万,9.32万,2014年,8.2万公里,2012款,1.4L
日产 天籁 2011款 2.0L XL舒适版,7.80万,21.69万,2013年,11.5万公里,2011款,2.0L
MINI Clubman 2010款 1.6L COOPER Cheer,8.36万,29.25万,2009年,7.7万公里,2010款,1.6L
丰田 雷凌 2017款 改款双擎 1.8H GS CVT精英天窗版 国V,11.00万,15.17万,2017年,5.7万公里,2017款,1.8L
别克 威朗 2020款 20T CVT豪华型,10.80万,18.77万,2019年,0.3万公里,2020款,1.3T
奔驰E级 2014款 E 200 轿跑版(进口),26.80万,57.53万,2015年,4.4万公里,2014款,2.0T
大众 朗行 2015款 230TSI DSG舒适版,8.48万,16.27万,2016年,3.6万公里,2015款,1.4T
雪佛兰 科鲁兹 2017款 1.5L 自动炫锋版,6.45万,14.86万,2016年,6.3万公里,2017款,1.5L
吉利 帝豪GS 2016款 运动版 1.8L 自动领尚型,6.90万,10.62万,2018年,3.2万公里,2016款,1.8L
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,19.70万,47.54万,2014年,9.0万公里,2013款,3.0L
日产 骊威 2010款 劲悦版 1.6L 手动全能型,3.80万,9.31万,2012年,11.0万公里,2010款,1.6L
福田 伽途im8 2017款 1.5L 智尊型,4.28万,8.67万,2017年,4.5万公里,2017款,1.5L
吉利 博越 2016款 1.8TD 自动智尚型,7.68万,13.44万,2017年,4.5万公里,2016款,1.8T
雪佛兰 探界者 2018款 535T 自动领界版,11.00万,18.98万,2018年,5.1万公里,2018款,1.5T
大众POLO 2014款 1.6L 自动舒适版,5.80万,11.28万,2015年,3.7万公里,2014款,1.6L
现代 索纳塔八 2011款 2.0L 自动时尚版,6.00万,18.12万,2012年,7.8万公里,2011款,2.0L
大众 桑塔纳 2015款 1.6L 自动风尚版,5.30万,10.84万,2015年,3.0万公里,2015款,1.6L
大众 速腾 2014款 改款 1.4TSI 自动豪华型,9.18万,18.21万,2015年,6.1万公里,2014款,1.4T
大众 凌渡 2019款 230TSI DSG视野版 国VI,12.80万,17.49万,2020年,0.6万公里,2019款,1.4T
日产 轩逸 2014款 1.6XV CVT尊享版,6.98万,14.96万,2014年,9.7万公里,2014款,1.6L
日产 逍客 2017款 2.0L CVT豪华版 国V,12.30万,18.32万,2017年,3.1万公里,2017款,2.0L
大众 速腾 2012款 1.6L 手动舒适型,4.78万,15.07万,2012年,11.1万公里,2012款,1.6L
吉利 帝豪 2019款 领军版 1.5L CVT向上互联型 国VI,7.20万,9.96万,2020年,0.4万公里,2019款,1.5L
大众 朗逸 2017款 1.6L 自动舒适版,8.68万,14.53万,2018年,4.1万公里,2017款,1.6L
吉利 远景 2015款 1.5L 手动精英型,4.00万,6.28万,2016年,3.9万公里,2015款,1.5L
大众 途观 2016款 300TSI 自动两驱舒适版,11.98万,25.81万,2016年,7.5万公里,2016款,1.8T
雪佛兰 赛欧 2013款 两厢 1.2L 手动温馨版,2.70万,6.17万,2013年,4.4万公里,2013款,1.2L
斯柯达 明锐 2017款 1.6L 自动智行版,8.10万,16.49万,2017年,3.7万公里,2017款,1.6L
别克 英朗 2018款 15T 双离合精英型 国V,6.78万,13.77万,2018年,4.1万公里,2018款,1.0T
奥迪Q3 2015款 35 TFSI quattro 技术型,16.58万,36.23万,2016年,7.2万公里,2015款,2.0T
马自达2劲翔 2008款 1.5L 自动时尚型,2.98万,11.05万,2009年,10.7万公里,2008款,1.5L
大众 高尔夫 2015款 1.6L 自动舒适型,8.80万,15.73万,2015年,5.3万公里,2015款,1.6L
马自达 昂克赛拉 2017款 两厢 1.5L 自动豪华型 国V,9.40万,15.19万,2017年,3.7万公里,2017款,1.5L
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,13.80万,21.63万,2019年,6.1万公里,2019款,2.0L
